Date,Price,Open,High,Low,Vol.,Change %
28-Oct-14,947.06,941.25,953.09,941.25,3.33M,-0.39
27-Oct-14,950.76,962.5,962.5,945.55,2.38M,-0.05
23-Oct-14,951.26,951.21,953.36,949.29,325.21K,0.24
22-Oct-14,949.01,952.33,952.98,944.05,2.68M,0.61
21-Oct-14,943.24,962.48,962.48,927.5,13.04M,-1.03
20-Oct-14,953.09,963.25,965.64,950.52,3.85M,-1.02
17-Oct-14,962.91,966.23,980.7,959.27,4.10M,-0.35
16-Oct-14,966.33,975.02,984.58,963.59,5.01M,-1.35
14-Oct-14,979.58,991.25,991.25,975,3.43M,-0.61
13-Oct-14,985.64,972.33,996.25,972.33,8.86M,1.39
10-Oct-14,972.16,915,977,893.17,22.95M,6.63
9-Oct-14,911.7,925,928.5,906.48,6.22M,-0.09
8-Oct-14,912.54,946.25,948,910.25,10.16M,-4.73
7-Oct-14,957.83,942.33,973.24,942.33,10.03M,-0.42
1-Oct-14,961.83,930.5,964.99,930.5,4.74M,2.66
30-Sep-14,936.94,936.05,939.08,925.27,3.46M,-0.03
29-Sep-14,937.26,925.25,940.24,920.27,2.50M,1.87
26-Sep-14,920.04,921.25,930.06,915.12,4.43M,-0.29
25-Sep-14,922.75,912.5,929.7,911.5,12.49M,1.27
24-Sep-14,911.2,907.5,918.06,899.56,2.78M,1.05
23-Sep-14,901.77,911.25,920.86,898.89,6.48M,-1.19
22-Sep-14,912.65,920,920.69,908,4.31M,-1.39
19-Sep-14,925.51,924.75,946.98,920.33,7.38M,0.14
18-Sep-14,924.25,918.49,932.42,913.61,4.55M,-1.18
17-Sep-14,935.26,919.98,937.02,917.77,3.96M,2.46
16-Sep-14,912.81,911.5,922.62,905.9,2.52M,0.27
15-Sep-14,910.33,916.25,917,906.83,2.48M,-0.78
12-Sep-14,917.48,922,927,912.5,1.95M,-0.39
11-Sep-14,921.04,918.5,924.92,907.65,2.51M,0.46
10-Sep-14,916.83,927,927,915,2.54M,-1.84
9-Sep-14,934.01,937,938.86,930,2.16M,-1.21
8-Sep-14,945.41,933.17,947.62,933.17,3.26M,1.36
5-Sep-14,932.69,933,948.75,926.34,3.23M,0.59
4-Sep-14,927.19,931.25,931.25,924.46,3.12M,-0.68
3-Sep-14,933.56,902.5,936.6,902.5,5.93M,3.33
2-Sep-14,903.44,900,906.25,888.89,1.79M,0.39
1-Sep-14,899.91,902.51,904.73,896.25,1.82M,0.02
28-Aug-14,899.7,907.25,908.41,895.3,3.80M,-0.87
27-Aug-14,907.64,907.5,912.5,900.27,2.78M,0.18
26-Aug-14,906.04,905.5,910,900,2.92M,-0.1
25-Aug-14,906.95,899.75,908.92,890.51,2.10M,0.74
22-Aug-14,900.25,887.24,902,887,2.43M,1.47
21-Aug-14,887.24,889.06,890.85,882.5,2.15M,-0.16
20-Aug-14,888.64,890.75,895.62,886.75,1.97M,0.19
19-Aug-14,886.95,890.25,897.25,882.5,3.21M,-0.34
18-Aug-14,889.95,903,903,887.5,3.39M,-1.46
14-Aug-14,903.14,902,906.92,896.65,3.38M,0.12
13-Aug-14,902.1,890.01,906.25,887.69,4.47M,0.88
12-Aug-14,894.2,899.75,899.75,885.25,2.96M,0.09
11-Aug-14,893.38,881,895.92,877.5,2.81M,2.61
8-Aug-14,870.66,875,880,868.75,1.91M,-0.7
7-Aug-14,876.84,874.75,886.1,870.59,3.88M,-1.92
6-Aug-14,893.96,881.25,902.09,881.25,9.00M,1.79
5-Aug-14,878.25,869,880,867.51,5.49M,1.37
4-Aug-14,866.39,838.75,870.73,837.33,6.54M,3.72
1-Aug-14,835.33,837.5,848,832.5,3.80M,-0.78
31-Jul-14,841.91,845,848.73,835.8,4.23M,-0.14
30-Jul-14,843.05,848.5,848.5,836.4,4.97M,0.03
28-Jul-14,842.77,836.25,846.75,830.21,2.30M,0.56
25-Jul-14,838.05,849.75,849.75,826.17,2.67M,-0.89
24-Jul-14,845.56,836,848.75,830.36,2.79M,0.98
23-Jul-14,837.36,812.25,838.75,812.25,5.91M,3.58
22-Jul-14,808.42,801.25,811.67,799.51,4.37M,1.03
21-Jul-14,800.17,813.75,818.34,797.02,3.72M,-1.56
18-Jul-14,812.89,813.25,818.67,810.9,2.05M,0.38
17-Jul-14,809.83,815.02,836.48,807.91,2.47M,0.3
16-Jul-14,807.4,810,811.25,800.81,2.29M,0.12
15-Jul-14,806.41,809.75,814.49,804.26,2.07M,0.01
14-Jul-14,806.31,828.75,828.75,796.45,4.12M,-3.05
11-Jul-14,831.66,850.35,858,825.09,7.91M,1.03
10-Jul-14,823.17,828.75,845.42,812.65,5.67M,-0.53
9-Jul-14,827.59,832.5,846,822.5,4.14M,-0.95
8-Jul-14,835.54,837.25,851.59,825.76,5.73M,-0.1
7-Jul-14,836.36,816.25,842,815,5.82M,3.06
4-Jul-14,811.49,800.01,814.6,800.01,2.88M,1.1
3-Jul-14,802.67,802.55,807.1,797.62,3.75M,-0.14
2-Jul-14,803.83,803,810.9,799.55,3.06M,-0.18
1-Jul-14,805.26,811.25,813.7,801.5,2.33M,-1.06
30-Jun-14,813.89,805,815.75,802.85,3.65M,1
27-Jun-14,805.85,800,808.9,793,3.45M,1.29
26-Jun-14,795.62,805,808.75,792.19,3.69M,-0.9
25-Jun-14,802.81,811.25,811.25,801.5,3.22M,0.23
24-Jun-14,800.95,807.5,808.73,798.04,5.32M,-0.89
23-Jun-14,808.14,825,827.24,805.36,3.16M,-2.53
20-Jun-14,829.15,830,834.85,823.21,4.43M,0.14
19-Jun-14,827.98,811.46,830.75,811.27,5.66M,2.2
