Date,Price,Open,High,Low,Vol.,Change %
14-Feb-14,212.01,210.89,212.34,208.63,5.81M,0.91
13-Feb-14,210.09,212.61,214.13,209,4.14M,-1.14
12-Feb-14,212.51,215.79,216.79,211.48,9.12M,-1.4
11-Feb-14,215.53,214.86,216.29,213.84,7.58M,0.03
10-Feb-14,215.46,213.84,215.69,212.81,6.82M,0.48
7-Feb-14,214.43,216.79,216.79,212.28,11.93M,-0.34
6-Feb-14,215.16,212.15,215.66,209.83,11.60M,1.75
5-Feb-14,211.45,213.8,215.3,210.49,9.12M,-1.83
4-Feb-14,215.39,211.15,215.96,209.43,12.88M,1.44
3-Feb-14,212.34,213.9,215.3,211.95,6.62M,-1.48
31-Jan-14,215.53,215.39,215.92,213.54,9.38M,0.15
30-Jan-14,215.2,213.17,215.92,210.82,15.34M,-0.12
29-Jan-14,215.46,216.99,217.78,214.93,9.13M,-0.5
28-Jan-14,216.55,214.9,217.42,211.42,13.11M,0.75
27-Jan-14,214.93,212.48,215.79,211.25,9.24M,-0.01
24-Jan-14,214.96,217.38,219.04,214.4,5.13M,-1.43
23-Jan-14,218.08,216.36,218.78,215.66,6.29M,0.49
22-Jan-14,217.02,217.78,217.95,214,11.37M,-0.52
21-Jan-14,218.15,218.94,220.33,217.78,6.98M,-0.35
20-Jan-14,218.91,215.13,219.11,214.2,8.61M,1.65
17-Jan-14,215.36,216.12,217.45,213.8,11.28M,-0.2
16-Jan-14,215.79,218.11,219.37,214.57,4.75M,-1.02
15-Jan-14,218.01,215.53,218.44,213.04,8.85M,1.35
14-Jan-14,215.1,216.12,218.78,214.7,7.57M,-0.31
13-Jan-14,215.76,214.53,216.32,213.87,6.36M,0.88
10-Jan-14,213.87,210.62,215.13,208.17,9.19M,2.22
9-Jan-14,209.23,209.96,209.96,207.27,7.66M,-0.4
8-Jan-14,210.06,210.49,210.82,208,7.48M,0.05
7-Jan-14,209.96,209.83,210.42,207.34,7.78M,0.33
6-Jan-14,209.26,208.83,209.96,207.84,8.16M,0.28
3-Jan-14,208.67,208.83,209.49,205.75,12.00M,-0.06
2-Jan-14,208.8,213.7,215.46,208.37,6.78M,-2.31
1-Jan-14,213.74,213.67,214.4,212.88,1.86M,0.17
31-Dec-13,213.37,214.13,214.8,212.34,5.21M,-0.17
30-Dec-13,213.74,213.47,214.8,212.15,5.76M,-0.01
27-Dec-13,213.77,212.81,214.57,212.15,8.18M,0.69
26-Dec-13,212.31,211.55,213.07,210.62,15.46M,0.37
24-Dec-13,211.52,211.98,212.15,210.49,6.60M,-0.05
23-Dec-13,211.62,208.96,212.08,208.73,8.74M,1.27
20-Dec-13,208.96,208.17,209.43,205.75,15.03M,0.49
19-Dec-13,207.94,210.16,210.49,206.25,11.23M,-0.6
18-Dec-13,209.2,209.03,210.59,207.37,11.98M,0.08
17-Dec-13,209.03,208.73,209.39,206.91,8.17M,0.8
16-Dec-13,207.37,208.4,208.83,205.98,6.39M,-0.79
13-Dec-13,209.03,209.23,210.49,207.07,7.16M,-0.47
12-Dec-13,210.02,212.71,213.47,209.3,6.25M,-1.26
11-Dec-13,212.71,210.16,213.31,210.16,10.51M,0.93
10-Dec-13,210.75,207.67,211.15,207.51,16.11M,1.55
9-Dec-13,207.54,209.49,210.55,205.95,9.38M,0.64
6-Dec-13,206.21,205.35,207.07,204.49,12.72M,0.74
5-Dec-13,204.69,209.49,211.12,203.89,15.41M,-1.31
4-Dec-13,207.41,211.48,211.75,206.74,6.59M,-1.99
3-Dec-13,211.62,213.44,213.44,210.46,5.57M,-0.71
2-Dec-13,213.14,212.78,214.6,211.25,5.09M,0.34
29-Nov-13,212.41,207.54,212.81,207.54,7.47M,2.2
28-Nov-13,207.84,209.49,210.02,206.84,10.17M,-0.21
27-Nov-13,208.27,204.89,208.96,204.89,7.36M,1.1
26-Nov-13,206.01,209,209.63,204.89,10.22M,-1.73
25-Nov-13,209.63,206.41,210.09,206.18,6.52M,2.43
22-Nov-13,204.65,208.8,209.43,204.02,8.95M,-1.36
21-Nov-13,207.47,211.68,212.15,206.25,9.99M,-2.43
20-Nov-13,212.64,214.37,216.02,212.15,11.26M,-0.85
19-Nov-13,214.47,216.72,217.22,213.8,7.18M,-0.8
18-Nov-13,216.19,209.49,216.79,209.49,12.53M,3.7
14-Nov-13,208.47,206.84,210.82,206.84,6.43M,0.1
13-Nov-13,208.27,212.15,212.15,207.84,7.40M,-1.8
12-Nov-13,212.08,210.82,212.74,210.02,6.39M,1.02
11-Nov-13,209.93,210.75,213.41,207.57,9.42M,-0.91
8-Nov-13,211.85,212.71,214.6,210.29,6.66M,-0.28
7-Nov-13,212.44,211.52,214.67,208.83,10.82M,0.55
6-Nov-13,211.28,212.15,213.84,210.29,9.11M,-0.09
5-Nov-13,211.48,218.18,218.71,210.89,19.51M,-3.51
3-Nov-13,219.17,219.44,220.07,218.84,1.48M,0.78
1-Nov-13,217.48,220.86,221.43,216.79,10.34M,-2.08
31-Oct-13,222.09,219.67,223.08,219.01,16.45M,0.57
30-Oct-13,220.83,218.44,221.1,215.83,15.70M,1.59
29-Oct-13,217.38,216.99,220.13,214.13,17.06M,-0.02
28-Oct-13,217.42,224.08,224.08,216.32,20.20M,-3.56
25-Oct-13,225.44,228.65,230.05,222.75,8.80M,-0.79
24-Oct-13,227.23,227,230.94,225.54,9.66M,0.34
23-Oct-13,226.47,226.83,228.39,224.41,7.10M,0.02
22-Oct-13,226.43,227,228.59,225.74,6.53M,-0.91
21-Oct-13,228.52,235.35,236.01,227.39,9.77M,-2.78
18-Oct-13,235.05,230.51,236.08,228.82,11.75M,2.62
17-Oct-13,229.05,225.41,229.71,224.87,6.74M,1.61
15-Oct-13,225.41,224.74,227.26,221,7.52M,0.06
14-Oct-13,225.27,227.73,227.73,224.51,4.02M,-0.7
11-Oct-13,226.86,231.11,232,225.87,5.35M,-1.43
10-Oct-13,230.15,229.85,232.57,228.52,5.13M,-0.4
9-Oct-13,231.07,230.38,232.37,227.76,7.78M,0.26
8-Oct-13,230.48,226.9,231.14,225.14,8.39M,2.24
7-Oct-13,225.44,224.68,226.03,220.1,7.84M,0.06
4-Oct-13,225.31,224.58,226.57,222.32,6.66M,0.33
3-Oct-13,224.58,229.38,229.38,223.42,11.57M,-1.24
1-Oct-13,227.39,225.64,227.73,224.08,6.40M,0.76
30-Sep-13,225.67,228.95,229.71,224.31,8.33M,-2.15
27-Sep-13,230.64,232.63,232.63,228.75,8.28M,-0.4
26-Sep-13,231.57,227.59,232.03,226.07,11.85M,1.32
25-Sep-13,228.55,231.7,232.03,223.32,10.85M,-1.21
24-Sep-13,231.34,230.24,234.45,228.85,12.60M,-0.26
23-Sep-13,231.94,232.76,236.68,229.81,7.87M,-1.53
20-Sep-13,235.55,235.28,237.34,229.58,12.85M,-0.04
19-Sep-13,235.65,230.97,236.34,230.87,14.78M,3.46
18-Sep-13,227.76,226.07,228.72,224.87,10.13M,1.43
17-Sep-13,224.54,220.17,225.27,219.8,6.58M,1.42
16-Sep-13,221.39,222.12,224.74,219.01,10.65M,0.78
13-Sep-13,219.67,223.98,224.68,218.74,11.01M,-1.53
12-Sep-13,223.08,219.94,224.68,218.28,16.21M,1.98
11-Sep-13,218.74,222.75,223.42,216.82,11.30M,-1.77
10-Sep-13,222.69,212.15,224.34,211.48,18.16M,6.16
6-Sep-13,209.76,207.51,211.35,205.72,11.03M,1.36
5-Sep-13,206.94,204.02,209.76,203.86,13.62M,4.1
4-Sep-13,198.79,202.2,202.2,194.64,20.96M,-0.28
3-Sep-13,199.35,213.07,214.57,195.97,20.21M,-6.15
2-Sep-13,212.41,205.52,214.67,204.72,13.71M,3.79
30-Aug-13,204.65,202.86,206.84,198.89,17.06M,1.03
29-Aug-13,202.57,198.69,204.85,195.57,17.36M,2.47
28-Aug-13,197.69,196.24,202.07,189.08,20.71M,0.1
27-Aug-13,197.49,203.03,203.36,192.69,17.31M,-3.12
26-Aug-13,203.86,205.68,207.27,202.9,8.70M,-0.32
23-Aug-13,204.52,204.65,205.42,199.58,14.74M,0.18
22-Aug-13,204.16,199.55,205.98,192.26,20.12M,2.36
21-Aug-13,199.45,212.15,212.74,196.33,14.92M,-4.58
20-Aug-13,209.03,206.97,213.94,200.88,18.71M,0.45
19-Aug-13,208.1,212.41,213.37,205.52,12.38M,-2.03
16-Aug-13,212.41,221.43,224.08,210.49,18.00M,-4.32
14-Aug-13,221.99,220.86,223.42,218.18,9.64M,0.19
13-Aug-13,221.56,223.68,224.87,220.5,14.91M,-0.43
12-Aug-13,222.52,218.71,223.75,215.46,18.35M,3.17
8-Aug-13,215.69,213.54,216.92,212.41,9.12M,1.01
7-Aug-13,213.54,219.44,220.6,211.15,11.84M,-2.47
6-Aug-13,218.94,222.32,222.62,218.11,11.11M,-1.54
5-Aug-13,222.36,220.93,226.03,220.2,8.64M,0.74
2-Aug-13,220.73,225.41,228.06,218.54,9.04M,-1.9
1-Aug-13,225.01,227.73,231.4,223.45,9.55M,-0.67
31-Jul-13,226.53,232.03,235.28,222.79,19.96M,-2.54
30-Jul-13,232.43,235.75,237.74,231.37,5.59M,-2.06
29-Jul-13,237.31,241.98,243.77,235.75,7.96M,-2.77
26-Jul-13,244.07,239.1,247.12,231.8,17.56M,2.58
25-Jul-13,237.94,247.88,247.95,235.85,21.24M,-4.5
24-Jul-13,249.14,248.94,251.92,244.56,10.69M,0.01
23-Jul-13,249.11,245.53,249.34,244.93,7.41M,1.89
22-Jul-13,244.5,243.47,245.63,242.94,5.95M,-0.07
19-Jul-13,244.66,244.3,246.55,242.11,8.10M,0.11
18-Jul-13,244.4,244.13,246.55,241.85,11.44M,0.08
17-Jul-13,244.2,239.33,245.56,239.16,17.97M,2.3
16-Jul-13,238.7,230.71,239.99,230.71,9.76M,2.11
15-Jul-13,233.76,233.59,234.26,230.58,6.66M,0.57
12-Jul-13,232.43,234.19,234.19,230.44,6.39M,-0.79
11-Jul-13,234.29,233.26,234.95,229.25,6.92M,2.27
10-Jul-13,229.08,231.31,231.31,227.46,6.72M,-0.55
9-Jul-13,230.34,229.02,231.94,229.02,6.94M,0.21
8-Jul-13,229.85,226.2,231.11,224.58,7.95M,1.2
5-Jul-13,227.13,226.73,228.72,225.8,6.82M,1.11
4-Jul-13,224.64,216.46,225.27,216.36,9.65M,3.83
3-Jul-13,216.36,214.67,217.12,212.25,10.14M,0.46
2-Jul-13,215.36,215.46,216.49,213.8,9.03M,-0.34
1-Jul-13,216.09,215.46,216.65,213.8,13.29M,0.49
28-Jun-13,215.03,213.87,218.78,212.97,13.82M,0.83
27-Jun-13,213.27,216.06,216.72,210.19,15.45M,-0.39
26-Jun-13,214.1,213.31,216.72,211.28,13.19M,1.01
25-Jun-13,211.95,209.83,213.14,206.18,12.46M,1.69
24-Jun-13,208.43,212.38,215.86,206.41,12.69M,-2.47
21-Jun-13,213.7,213.47,215.33,210.49,10.08M,-0.11
20-Jun-13,213.94,217.35,217.38,211.48,15.62M,-2.18
19-Jun-13,218.71,218.74,219.24,216.92,6.81M,-0.08
18-Jun-13,218.88,219.14,220.17,217.65,8.10M,-0.51
17-Jun-13,220,220.63,220.63,216.19,5.11M,0.03
14-Jun-13,219.94,218.38,220.76,216.29,8.11M,1.45
13-Jun-13,216.79,218.21,219.01,214.47,12.35M,-1.21
12-Jun-13,219.44,220.63,221.39,217.48,10.11M,-1
11-Jun-13,221.66,221.96,223.58,220.76,9.87M,-0.79
10-Jun-13,223.42,221.46,224.08,221.33,4.78M,0.94
7-Jun-13,221.33,220.76,224.41,219.54,6.52M,-0.31
6-Jun-13,222.02,221.43,223.25,218.84,6.39M,0.27
5-Jun-13,221.43,222.42,223.38,219.01,8.37M,-0.98
4-Jun-13,223.62,222.65,224.54,222.16,9.25M,0.37
3-Jun-13,222.79,225.84,226.66,220.9,7.28M,-1.13
31-May-13,225.34,233.03,233.03,224.48,11.13M,-4.07
30-May-13,234.89,227,235.95,226.66,16.89M,3.4
29-May-13,227.16,226.07,227.49,223.71,6.84M,0.78
28-May-13,225.41,220.53,226.63,220.5,8.20M,1.83
27-May-13,221.36,218.78,221.83,218.44,8.01M,1.21
24-May-13,218.71,221.43,221.53,217.91,10.61M,-0.78
23-May-13,220.43,221.03,222.72,219.01,7.73M,-0.91
22-May-13,222.45,218.21,223.42,218.21,9.76M,1.37
21-May-13,219.44,221.43,222.36,218.01,7.71M,-1.09
20-May-13,221.86,222.09,226.8,221.43,11.08M,-0.07
17-May-13,222.02,224.51,226.37,220.83,24.40M,-0.63
16-May-13,223.42,226.17,227.73,220.53,11.08M,-1.59
15-May-13,227.03,224.11,228.02,222.75,12.40M,1.97
14-May-13,222.65,224.68,225.31,220.8,10.20M,0.01
13-May-13,222.62,234.69,234.69,221.66,16.42M,-5.18
11-May-13,234.79,233.36,235.32,232.96,473.56K,0.29
10-May-13,234.12,227.79,234.79,226.73,9.90M,2.51
